,laplacian
0,1.7172437521677906
1,0.5539438381477251
2,-0.3995397483321229
3,-0.4881650500668593
4,-0.03395152367866276
5,0.6909970409602781
6,0.983404833587762
7,-0.4242666310179222
8,-0.3598630539861414
9,-0.010453685023057671
10,-0.8232189273168774
11,-0.01846139250986281
12,-0.7106120399544722
13,0.5808213887419604
14,-0.18206436675356413
15,-0.4743112953048808
16,-0.056635108055097826
17,-0.70216710390544
18,-0.3366662824693133
19,-0.17928148479427986
20,0.3212604071815989
21,-0.20151686655009227
22,-0.5595230773585111
23,0.43524090665089454
24,-0.023974656887280413
25,-0.3943856319601644
26,0.26390580309785405
27,-0.21291357168680586
28,-0.6708727627229879
29,0.9170240596388648
30,-0.8484114949709716
31,1.0475776735857656
32,-0.2618959275313217
33,-0.33791424403876297
34,0.08450834501380561
35,0.172073506290383
36,-0.2412964842868537
37,0.2756196057075563
38,0.1376684965450723
39,0.043090040605034304
40,0.8088744693719979
41,0.10311868405667554
42,-0.4691365062310872
43,-0.06295264912715433
44,0.3156775206367289
45,-0.25727466307173696
46,0.17123890673821635
47,0.7426821067155871
48,-0.32715555014551434
49,0.2454777755668866
50,0.541218313431102
51,0.9028119686869815
52,-0.4977421648951305
53,1.7069828978382433
54,0.24808327906219305
55,-0.5675778646738043
56,-0.15467122939964034
57,-0.03750369017061807
58,-1.0394699987167662
59,-0.3795746606539243
60,-0.2285505164415727
61,0.2458153488712008
62,-0.8625423389480908
63,-0.16568132787417175
64,-0.8611313289511019
65,0.29927883860117244
66,-0.20345429788454766
67,0.444212409468839
68,0.10098984346024167
69,-0.3820526151824296
70,0.11776357136979805
71,-0.5324824657660536
72,-0.2710284173253259
73,-0.5941421524796542
74,0.1785882170022816
75,1.5811195321441869
76,-0.5044920375601083
77,0.3720198248362481
78,-0.4489969535998771
79,0.03002335744418538
80,-0.09915623982882632
81,0.22411315839339405
82,-0.34094684455027985
83,0.7046362755598624
84,-0.011914301248005466
85,0.8890412800295566
86,0.26071395198178904
87,0.22019106813278155
88,-0.7102927478425467
89,0.0017975777537354296
90,-0.3388786688655596
91,-0.13818519988799624
92,0.29696856903333313
93,-0.36838527019168094
94,-0.30935527655803896
95,-0.3986860339064305
96,-0.041594240441679
97,0.12017063312587233
98,0.1210413656530324
99,-0.288096861767164
100,-0.3276167355993532
101,-1.2150279988625323
102,-0.8589303217585249
103,0.2184094831816253
104,-0.3802171947783648
105,-0.23813715855147505
106,1.5358417446538526
107,-0.12782501045866607
108,0.3848461462179367
109,-0.05258023503276528
110,1.2388174338874012
111,-0.28237905503303085
112,-1.282449871076392
113,-0.8404498458976187
114,-0.11892612256866085
115,0.7138807464361068
116,1.285714018560884
117,-0.2044464221784025
118,-0.5622670499787117
119,1.0862940678706487
120,0.5908378419737752
121,0.228251730949362
122,-0.1492416756375066
123,-0.14410971748447998
124,0.6536411231129352
125,-0.39093878972322216
126,-0.200598813157303
127,0.010926068528101102
128,-0.5667092258981192
129,0.5192849517394191
130,-1.0042337124091278
